"","Arthoniomycetes","Candelariomycetes","Chaetothyriomycetes","Dothideomycetes","Lecanoromycetes","Lichinomycetes"
"Arthoniomycetes",0.960666666666667,0.002,NA,0.0306666666666667,0.00666666666666667,NA
"Candelariomycetes",0.000555555555555556,0.970555555555556,0.00111111111111111,0.00222222222222222,0.0211111111111111,0.00444444444444444
"Chaetothyriomycetes",NA,NA,0.956666666666667,0.000666666666666667,0.00133333333333333,0.0413333333333333
"Dothideomycetes",NA,0.005,0.000789473684210526,0.988421052631579,0.000789473684210526,0.005
"Lecanoromycetes",0.00127340823970037,0.0264419475655431,0.115468164794007,0.0521722846441948,0.771947565543071,0.0326966292134831
"Lichinomycetes",NA,NA,0.00714285714285714,NA,NA,0.992857142857143
