"","Arthoniomycetes","Candelariomycetes","Chaetothyriomycetes","Dothideomycetes","Lecanoromycetes","Lichinomycetes"
"Arthoniomycetes",0.966,0.004,NA,0.0293333333333333,0.000666666666666667,NA
"Candelariomycetes",NA,0.99,0.000555555555555556,NA,0.00888888888888889,0.000555555555555556
"Chaetothyriomycetes",NA,NA,0.98,NA,0.00266666666666667,0.0173333333333333
"Dothideomycetes",NA,0.00657894736842105,0.00131578947368421,0.988684210526316,0.000789473684210526,0.00263157894736842
"Lecanoromycetes",0.000973782771535581,0.0202996254681648,0.119662921348315,0.0422097378277154,0.788089887640449,0.0287640449438202
"Lichinomycetes",NA,NA,0.0142857142857143,NA,NA,0.985714285714286
