"","Var1","Freq"
"1","Acarosporales",32
"2","Arthoniales",52
"3","Baeomycetales",61
"4","Candelariales",62
"5","Lecanorales",357
"6","Lecideales",44
"7","Lichinales",24
"8","Ostropales",44
"9","Peltigerales",68
"10","Pertusariales",64
"11","Rhizocarpales",55
"12","Strigulales",48
"13","Teloschistales",120
"14","Trypetheliales",79
"15","Umbilicariales",48
"16","Verrucariales",51
