id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
722711,MIN,Lichens,,PreservedSpecimen,b8d05f89-126c-46d2-baff-07a61aa7bc8b,835746,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Wetmore, C.",,74919,1994-08-18,1994,8,18,230,,18/Aug/1994,,,"on dead balsam fir",,,,,,,,,,,,,,"United States",Minnesota,Koochiching,,"Near Black River & Highway 101; Pine Island State Forest",,0,,48.46638889,-94.16694444,,,"48°27'59""N, 94°10'01""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:b8d05f89-126c-46d2-baff-07a61aa7bc8b,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=722711
722735,MIN,Lichens,,PreservedSpecimen,aa8248d5-f6e3-4a8c-8128-f627d17e45cc,835770,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Wetmore, C.",,74894,1994-08-18,1994,8,18,230,,18/Aug/1994,,,"on white birch",,,,,,,,,,,,,,"United States",Minnesota,"Lake of the Woods",,"Clementson At Rapid River",,0,,48.69472222,-94.43388889,,,"48°41'41""N, 94°26'02""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:aa8248d5-f6e3-4a8c-8128-f627d17e45cc,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=722735
722741,MIN,Lichens,,PreservedSpecimen,ed486748-1ae7-42b3-a163-2ec06ea70fd9,835776,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Wetmore, C.",,74888,1994-08-18,1994,8,18,230,,18/Aug/1994,,,"on top of fallen black ash",,,,,,,,,,,,,,"United States",Minnesota,"Lake of the Woods",,"Clementson At Rapid River",,0,,48.69472222,-94.43388889,,,"48°41'41""N, 94°26'02""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:ed486748-1ae7-42b3-a163-2ec06ea70fd9,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=722741
722762,MIN,Lichens,,PreservedSpecimen,d1fe67d9-901e-4631-8e39-e44e262d4af4,835797,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia soredica",278918,"(Nyl.) Hale",Flavopunctelia,soredica,,,,,,,,,,"Wetmore, C.",,74867,1994-08-18,1994,8,18,230,,18/Aug/1994,,,"on top of fallen black ash",,,,,,,,,,,,,,"United States",Minnesota,"Lake of the Woods",,"Clementson At Rapid River",,0,,48.69472222,-94.43388889,,,"48°41'41""N, 94°26'02""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:d1fe67d9-901e-4631-8e39-e44e262d4af4,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=722762
722797,MIN,Lichens,,PreservedSpecimen,9dcc3e88-7693-4c51-b31c-87e541418bea,835832,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia flaventior",278914,"(Stirt.) Hale",Flavopunctelia,flaventior,,,,,,,,,,"Wetmore, C.",,74831,1994-08-17,1994,8,17,229,,17/Aug/1994,,,"on jack pine",,,,,,,,,,,,,,"United States",Minnesota,"Lake of the Woods",,"3 Mi Nw of Williams, S of Tower; Beltrami Island State Forest",,0,,48.77777778,-95.03305556,,,"48°46'40""N, 95°01'59""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:9dcc3e88-7693-4c51-b31c-87e541418bea,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=722797
722813,MIN,Lichens,,PreservedSpecimen,3551e98d-be6d-449b-8380-17854719dcd9,835848,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Wetmore, C.",,74814,1994-08-17,1994,8,17,229,,17/Aug/1994,,,"on jack pine",,,,,,,,,,,,,,"United States",Minnesota,"Lake of the Woods",,"3 Mi Nw of Williams, S of Tower; Beltrami Island State Forest",,0,,48.77777778,-95.03305556,,,"48°46'40""N, 95°01'59""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:3551e98d-be6d-449b-8380-17854719dcd9,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=722813
722849,MIN,Lichens,,PreservedSpecimen,6647f9bd-2ff4-4c69-ad43-c8a78b7b4a61,835884,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Wetmore, C.",,74779,1994-08-17,1994,8,17,229,,17/Aug/1994,,,"on balsam fir log",,,,,,,,,,,,,,"United States",Minnesota,"Lake of the Woods",,"S of Winter Road River",,0,,48.67194444,-94.94194444,,,"48°40'19""N, 94°56'31""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:6647f9bd-2ff4-4c69-ad43-c8a78b7b4a61,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=722849
722865,MIN,Lichens,,PreservedSpecimen,b2c48298-c0d5-4aa0-a202-968016c2b869,835900,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia flaventior",278914,"(Stirt.) Hale",Flavopunctelia,flaventior,,,,,,,,,,"Wetmore, C.",,74763,1994-08-17,1994,8,17,229,,17/Aug/1994,,,"on balsam fir",,,,,,,,,,,,,,"United States",Minnesota,"Lake of the Woods",,"S of Winter Road River",,0,,48.67194444,-94.94194444,,,"48°40'19""N, 94°56'31""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:b2c48298-c0d5-4aa0-a202-968016c2b869,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=722865
722897,MIN,Lichens,,PreservedSpecimen,6e27eb27-f455-4a4d-b234-005f65803ae0,835932,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia flaventior",278914,"(Stirt.) Hale",Flavopunctelia,flaventior,,,,,,,,,,"Wetmore, C.",,74730,1994-08-17,1994,8,17,229,,17/Aug/1994,,,"on jack pine",,,,,,,,,,,,,,"United States",Minnesota,"Lake of the Woods",,"0.5 Mi From Entrance Station; Zippel Bay State Park",,0,,48.84861111,-94.84638889,,,"48°50'55""N, 94°50'47""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:6e27eb27-f455-4a4d-b234-005f65803ae0,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=722897
722901,MIN,Lichens,,PreservedSpecimen,8fc7cac3-d1b4-49fc-9ec8-68a4d5172c8a,835936,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Wetmore, C.",,74726,1994-08-17,1994,8,17,229,,17/Aug/1994,,,"on top of jack pine",,,,,,,,,,,,,,"United States",Minnesota,"Lake of the Woods",,"0.5 Mi From Entrance Station; Zippel Bay State Park",,0,,48.84861111,-94.84638889,,,"48°50'55""N, 94°50'47""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:8fc7cac3-d1b4-49fc-9ec8-68a4d5172c8a,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=722901
