"","uniqueNames","l"
"1","Acarosporales","8"
"2","Baeomycetales","15"
"3","Teloschistales","30"
"4","Candelariales","16"
"5","Arthoniales","13"
"6","Lichinales","6"
"7","Lecanorales","87"
"8","Ostropales","11"
"9","Lecideales","11"
"10","Pertusariales","16"
"11","Rhizocarpales","14"
"12","Strigulales","12"
"13","Trypetheliales","20"
"14","Umbilicariales","12"
"15","Verrucariales","13"
"16","Peltigerales","17"
