"","Var1","Freq"
"1","Acarosporaceae",32
"2","Baeomycetaceae",61
"3","Caliciaceae",60
"4","Candelariaceae",62
"5","Chrysotrichaceae",52
"6","Graphidaceae",44
"7","Hymeneliaceae",52
"8","Lecideaceae",44
"9","Lichinaceae",24
"10","Parmeliaceae",249
"11","Peltigeraceae",68
"12","Rhizocarpaceae",55
"13","Sarrameanaceae",56
"14","Strigulaceae",48
"15","Teloschistaceae",60
"16","Trypetheliaceae",79
"17","Umbilicariaceae",48
"18","Variolariaceae",64
"19","Verrucariaceae",51
