"","X.1","scientificName","id","institutionCode","collectionCode","basisOfRecord","occurrenceID","X","kingdom","phylum","scientificNameAuthorship","genus","specificEpithet","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","substrate","country","stateProvince","county","locality","localitySecurity","decimalLatitude","decimalLongitude","verbatimCoordinates","modified","collId","recordId","references","File.Name","Notes","Quality","Chemistry","Chemistry.Author","Source","Family","Order","Class","Morphology","Photobiont"
"108",108,"Flavoparmelia caperata",742813,"MIN","Lichens","PreservedSpecimen","urn:uuid:f0c7900b-912a-4250-b55a-07dcf49448e5",772360,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Filson, R.","40217","11/2/1971",1971,11,2,306,"2-Nov-71","on melalevca armillaris","Australia","Tasmania","","Curtis Island",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:30bd039b-844c-4243-be54-44a7ac134cdc","http://bellatlas.umn.edu/collections/individual/index.php?occid=691957","772360.1971","","good","caperatic acid, protocetraric acid in G.B., protocetraric acid in G.A.o-t, yellow pigment in lower medulla K+ purple","Filson. R","On archive","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"109",109,"Flavoparmelia caperata",645987,"MIN","Lichens","PreservedSpecimen","urn:uuid:606c92e8-1e81-4583-9a6b-c867337a4a97",691844,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Hale, M.","22290","1963-07-00",1963,7,0,NA,"00/Jul/1963","","United States","Minnesota","Clearwater","North Boundary Road; Itasca State Park",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:b4148dd6-fb6d-4ad1-9365-1a08da4d010a","http://bellatlas.umn.edu/collections/individual/index.php?occid=660818","691844.1963","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"110",110,"Flavoparmelia caperata",760528,"MIN","Lichens","PreservedSpecimen","urn:uuid:53e6bb66-8c0f-4e00-baa2-ebad5071d196",653152,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Wetmore, C.","19883","6/6/1971",1971,6,6,157,"6-Jun-71","on bur oak","United States","Minnesota","Washington","S of Afton Near Ski Area",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:4adbfb89-2d87-47a7-8025-de586eecf5c4","http://bellatlas.umn.edu/collections/individual/index.php?occid=643297","653152.1971","all samples on bark","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"111",111,"Flavoparmelia caperata",747557,"MIN","Lichens","PreservedSpecimen","urn:uuid:ab99e9c0-a297-472d-b15f-6767f98fc0bb",653089,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Wetmore, C.","18575","7/21/1969",1969,7,21,202,"21-Jul-69","","United States","Minnesota","Cook","Wampus Lake, 25 Mi N Grand Marais; Superior National Forest",0,48.05611111,-90.40833333,"48°03'22""N, 90°24'30""W","6/2/2016 12:52",11,"urn:uuid:329e5018-291b-4b40-acd5-a695fa65f2e3","http://bellatlas.umn.edu/collections/individual/index.php?occid=643235","653089.1969","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"112",112,"Flavoparmelia caperata",740949,"MIN","Lichens","PreservedSpecimen","urn:uuid:edf6922a-8464-400a-9984-33c14de98954",761459,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Schuster, J.","965","7/7/1983",1983,7,7,188,"7-Jul-83","on paper birch","United States","Minnesota","Pine","Pickerel Lake Campground, Nw of; Nemadji State Forest",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:18e070b1-5c9e-434b-9b62-c3b881e4a1f8","http://bellatlas.umn.edu/collections/individual/index.php?occid=686637","761459.1983","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"113",113,"Flavoparmelia caperata",NA,"","","","",894425,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Schuster, J.","3371","5/4/1996",1996,5,4,125,"4-May-96","on dead branch","United States","Minnesota","Washington","Falls Creek Scientific Natural Area",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:440ad26e-c5ce-45ef-87c7-fafec0de1fed","http://bellatlas.umn.edu/collections/individual/index.php?occid=758064","894425.1996","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"115",115,"Flavoparmelia caperata",630032,"MIN","Lichens","PreservedSpecimen","urn:uuid:89b712f4-d405-4e5e-9d8b-53b52e3ea6a8",22571,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Fink, B.","254","1897-06-30",1897,6,30,181,"30/Jun/1897","on earth","United States","Minnesota","Cook","Gunflint Trail; Superior National Forest",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:2eeb9bc3-5b8d-4a00-a0b7-4c8a99a4c621","http://bellatlas.umn.edu/collections/individual/index.php?occid=630008","22571.1897","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"116",116,"Flavoparmelia caperata",NA,"","","","",881733,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Cole, M.","2075","7/24/1996",1996,7,24,206,"24-Jul-96","on fallen pine","United States","Minnesota","Clearwater","Okerson Heights Trail Near Budd Lake; Itasca State Park",0,47.16388889,-95.175,"47°09'50""N, 95°10'30""W","6/2/2016 12:52",11,"urn:uuid:ab99e9c0-a297-472d-b15f-6767f98fc0bb","http://bellatlas.umn.edu/collections/individual/index.php?occid=747557","881733.1996","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"117",117,"Flavoparmelia caperata",NA,"","","","",901650,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Wetmore, C.","96815","8/7/2007",2007,8,7,219,"7-Aug-07","","United States","Minnesota","Cook","Smith Island In Poplar Lake; Superior National Forest",0,48.05138889,-90.51972222,"48°03'05""N, 90°31'11""W","6/2/2016 12:52",11,"urn:uuid:9fd9265a-1798-4060-88ec-4987af3e5ab0","http://bellatlas.umn.edu/collections/individual/index.php?occid=761697","901650.2007","some moss amongst lichen","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"118",118,"Flavoparmelia caperata",632827,"MIN","Lichens","PreservedSpecimen","urn:uuid:c6db391c-8938-4aa8-92b1-340d265606ef",22599,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Fink, B.","769","7/20/1901",1901,7,20,201,"20-Jul-01","on rocks, canada","Canada","Ontario","Rainy River","Emo",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:9dc9e54d-b030-40b7-8ff2-9967b9b5c670","http://bellatlas.umn.edu/collections/individual/index.php?occid=630033","22599.1901","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
