"","Var1","Freq"
"1","Arthoniomycetes",52
"2","Candelariomycetes",62
"3","Chaetothyriomycetes",51
"4","Dothideomycetes",127
"5","Lecanoromycetes",893
"6","Lichinomycetes",24
