"","uniqueNames","l"
"1","Lecanoromycetes","221"
"2","Candelariomycetes","16"
"3","Arthoniomycetes","13"
"4","Lichinomycetes","6"
"5","Dothideomycetes","32"
"6","Chaetothyriomycetes","13"
