"","Arthoniomycetes","Candelariomycetes","Chaetothyriomycetes","Dothideomycetes","Lecanoromycetes","Lichinomycetes"
"Arthoniomycetes",0.046,0.016,0,0.0393333333333333,0.00666666666666667,0
"Candelariomycetes",0,0.0227777777777778,0.00555555555555556,0,0.0205555555555556,0.00555555555555556
"Chaetothyriomycetes",0,0,0.0406666666666667,0,0.0133333333333333,0.0386666666666667
"Dothideomycetes",0,0.0115789473684211,0.00578947368421053,0.0155263157894737,0.00578947368421053,0.00789473684210526
"Lecanoromycetes",0.00164794007490637,0.0097752808988764,0.0233333333333333,0.011498127340824,0.0256928838951311,0.00887640449438202
"Lichinomycetes",0,0,0.0428571428571429,0,0,0.0428571428571429
